Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,hit the lights,the four horsemen,motorbreath,jump in the fire,(anesthesia) - pulling teeth,whiplash,phantom lord,no remorse,seek and destroy,metal militia,fight fire with fire,ride the lightning,for whom the bell tolls,fade to black,trapped under ice,escape,creeping death,the call of ktulu,battery,master of puppets,the thing that should not be,welcome home (sanitarium),disposable heroes,leper messiah,orion,"damage, inc.",blackened,...and justice for all,eye of the beholder,one,the shortest straw,harvester of sorrow,the frayed ends of sanity,to live is to die,dyers eve,enter sandman,sad but true,holier than thou,the unforgiven,wherever i may roam,don't tread on me,through the never,nothing else matters,of wolf and man,the god that failed,my friend of misery,the struggle within,ain't my bitch,2x4,the house jack built,until it sleeps,king nothing,hero of the day,bleeding me,cure,poor twisted me,wasting my hate,mama said,thorn within,ronnie,the outlaw torn,fuel,the memory remains,devil's dance,the unforgiven ii,better than you,slither,carpe diem baby,bad seed,where the wild things are,prince charming,low man's lyric,attitude,fixxxer,free speech for the dumb,it's electric,sabbra cadabra,turn the page,"die, die my darling",loverman,mercyful fate medley,astronomy,whiskey in the jar,tuesday's gone,the more i see,helpless,the small hours,the wait,crash course in brain surgery,last caress / green hell,am i evil?,blitzkrieg,breadfan,the prince,stone cold crazy,so what,killing time,overkill,damage case,stone dead forever,too late too late,frantic,st.anger,some kind of monster,dirty window,invisible kid,my world,shoot me again,sweet amber,the unnamed feeling,purify,all within my hands,that was just your life,the end of the line,"broken, beat & scarred",the day that never comes,all nightmare long,cyanide,the unforgiven iii,the judas kiss,suicide & redemption,my apocalypse,hardwired,"atlas, rise!",now that we're dead,moth into flame,dream no more,halo on fire,confusion,manunkind,here comes revenge,am i savage?,murder one,spit out the bone,URL
"October 25, 2018",Wells Fargo Center,,"Philadelphia, Pennsylvania, United States",39.9525839,-75.1652215,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'harvester of sorrow', 'the day that never comes', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'welcome home (sanitarium)', 'phantom lord', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,2,1,0,1,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-39651.html
"October 22, 2018",Spectrum Center,,"Charlotte, North Carolina, United States",35.2270869,-80.8431267,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'through the never', 'the unforgiven', ""now that we're dead"", 'wherever i may roam', 'for whom the bell tolls', 'fade to black', 'motorbreath', 'creeping death', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,3,1,1,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36815.html
"October 20, 2018",Bryce Jordan Center,,"State College, Pennsylvania, United States",40.7933949,-77.8600012,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'holier than thou', 'fade to black', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'halo on fire', 'hit the lights', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['blackened', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,3,1,1,2,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.metallica.com/events/event-36814.html
"October 18, 2018",Ppg Paints Arena,,"Pittsburgh, Pennsylvania, United States",40.44062479999999,-79.9958864,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'wherever i may roam', 'the unforgiven', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'welcome home (sanitarium)', 'whiplash', 'the memory remains', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,1,3,0,1,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36813.html
"October 16, 2018",Fiserv Forum,,"Milwaukee, Wisconsin, United States",43.0389025,-87.9064736,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'harvester of sorrow', 'the unforgiven', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'fade to black', 'motorbreath', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,3,1,2,2,0,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36812.html
"October 13, 2018",Zilker Park,Austin City Limits,"Austin, Texas, United States",30.267153,-97.7430608,WorldWired,"['hardwired', 'creeping death', 'seek and destroy', 'wherever i may roam', 'the unforgiven', ""now that we're dead"", 'for whom the bell tolls', 'halo on fire', 'the memory remains', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['blackened', 'nothing else matters', 'enter sandman']",enter sandman,1.0,16.0,"['Paul McCartney', 'Childish Gambino', 'Arctic Monkeys', 'David Byrne', 'and St. Vincent']",False,False,False,False,False,0,2,1,1,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,https://www.metallica.com/events/event-39357.html
"October 6, 2018",Zilker Park,Austin City Limits,"Austin, Texas, United States",30.267153,-97.7430608,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'creeping death', 'welcome home (sanitarium)', ""now that we're dead"", 'for whom the bell tolls', 'fade to black', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['battery', 'nothing else matters', 'enter sandman']",enter sandman,1.0,16.0,"['Paul McCartney', 'Childish Gambino', 'Arctic Monkeys', 'Deftones', 'David Byrne', 'St. Vincent and Greta Van Fleet']",False,False,False,False,False,0,3,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.metallica.com/events/event-39356.html
"September 26, 2018",City Hall At Civic Center Plaza,Dreamfest,"San Francisco, California, United States",37.7749295,-122.4194155,,"['hardwired', 'creeping death', 'seek and destroy', 'for whom the bell tolls', 'the unforgiven', ""now that we're dead"", 'moth into flame', 'fade to black', 'sad but true', 'one', 'master of puppets']",master of puppets,"['nothing else matters', 'enter sandman']",enter sandman,1.0,13.0,,False,False,False,False,False,0,3,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,https://www.metallica.com/events/2018-09-26-san-francisco.html
"September 15, 2018",Sasktel Centre,,"Saskatoon, Saskatchewan, Canada",52.1332144,-106.6700458,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'harvester of sorrow', 'the unforgiven', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'welcome home (sanitarium)', 'hit the lights', 'the memory remains', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['spit out the bone', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,2,2,2,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,https://www.metallica.com/events/event-36811.html
"September 13, 2018",Bell Mts Place,,"Winnipeg, Manitoba, Canada",49.895136,-97.13837439999999,WorldWired,"['hardwired', 'atlas, rise!', 'seek and destroy', 'wherever i may roam', 'fade to black', ""now that we're dead"", 'creeping death', 'for whom the bell tolls', 'halo on fire', 'the four horsemen', 'fuel', 'moth into flame', 'sad but true', 'one', 'master of puppets']",master of puppets,"['blackened', 'nothing else matters', 'enter sandman']",enter sandman,1.0,18.0,,False,False,False,False,False,1,3,1,1,2,0,1,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.metallica.com/events/event-36810.html
