 On this frightening night
 Fall onto your knees
 For the Phantom Lord

 Victims falling under chains
 You hear them crying dying pains
 The fist of terror's breaking through
 Now there's nothing you can do

 Hear the cry of war
 Louder than before
 With his sword in hand
 To control the land
 Crushing metal strikes
 On this frightening night
 Fall onto your knees
 For the Phantom Lord

 The leather armies have prevailed
 The Phantom Lord has never failed
 Smoke is lifting from the ground
 The rising volume metal sound

 Hear the cry of war
 Louder than before
 With his sword in hand
 To control the land
 Crushing metal strikes
 On this frightening night
 Fall onto your knees
 For the Phantom Lord

 Fall to your knees
 And bow to the Phantom Lord "8,1,Kill 'Em All,No Remorse,1,8,1983,0,6,26,386,0,0,0,1,1,0,0,0,0,0,0,231,"No mercy for what we are doing
 No thought to even what we have done
 We don't need to feel the sorrow
 No remorse for the helpless one

 War without end
 No remorse No repent
 We don't care what it meant
 Another day Another death
 Another sorrow Another breath
 No remorse No repent
 We don't care what it meant
 Another day Another death
 Another sorrow Another breath

 Blood feeds the war machine
 as it eats its way across the land
 We don't need to feel the sorrow
 No remorse is the one command

 War without end
 No remorse No repent
 We don't care what it meant
 Another day Another death
 Another sorrow Another breath
 No remorse No repent
 We don't care what it meant
 Another day Another death
 Another sorrow Another breath

 Only the strong survive
 No will to save the weaker race
 We are ready to kill all comers
 Like a loaded gun right at your face

 War without end
 No remorse No repent
 We don't care what it meant
 Another day Another death
 Another sorrow Another breath
 No remorse No repent
 We don't care what it meant
 Another day Another death
 Another sorrow Another breath

 Attack
 Bullets are flying
 People are dying
 with madness surrounding all hell's breaking loose
 Soldiers are hounding
 Bodies are mounting
 cannons are shouting to take their abuse
 With war machines going
 Blood starts to flowing
 No mercy given to anyone here
 The furious fighting
 Swords are like lightning
 It all becomes frightening
 You know death is near
 No remorse "9,1,Kill 'Em All,Seek & Destroy,1,9,1983,0,6,54,414,0,0,0,1,1,0,0,0,0,0,0,1507,"We�re scanning the scene in the city tonight
 We�re looking for you to start up a fight
 There�s an evil feeling in our brains
 But it�s nothing new, you know it drives us insane

 Running
 On our way
 Hiding
 You will pay
 Dying
 One thousand deaths
 Running
 On our way
 Hiding
 You will pay
 Dying
 One thousand deaths

 Searching
 Seek and destroy
 Searching
 Seek and destroy
 Searching
 Seek and destroy
 Searching
 Seek and destroy

 There is no escape and that�s for sure
 This is the end, we won't take any more
 Say goodbye to the world you live in
 You�ve always been taking but now you�re giving

 Running
 On our way
 Hiding
 You will pay
 Dying
 One thousand deaths
 Running
 On our way
 Hiding
 You will pay
 Dying
 One thousand deaths

 Searching
 Seek and destroy
 Searching
 Seek and destroy
 Searching
 Seek and destroy
 Searching
 Seek and destroy

 Our brains are on fire with the feeling to kill
 And it won't go away until our dreams are fulfilled
 There is only one thing on our minds
 Don�t try running away �cause you�re the one we will find

 Running
 On our way
 Hiding
 You will pay
 Dying
 One thousand deaths
 Running
 On our way
 Hiding
 You will pay
 Dying
 One thousand deaths

 Searching
 Seek and destroy
 Searching
 Seek and destroy
 Searching
 Seek and destroy
 Searching
 Seek and destroy"10,1,Kill 'Em All,Metal Militia,1,10,1983,0,5,11,311,0,0,0,1,1,0,0,1,0,0,0,87,"Thunder and lightning the gods take revenge
 Senseless destruction
 Victims of fury are cowardly now
 Running for safety
 Stabbing the harlot to pay for her sins
 Leaving the virgin
 Suicide running as if it were free
 Ripping and tearing

 On through the mist and the madness
 We are trying to get the message to you
 Metal Militia
 Metal Militia
 Metal Militia

 Chained and shadowed to be left behind
 nine and one thousand
 Metal militia for your sacrifice
 iron clad soldiers
 Join or be conquered the law of the land
 What will befall you
 The metallization of your inner soul
 twisting and turning

 On through the mist and the madness
 We are trying to get the message to you
 Metal Militia
 Metal Militia
 Metal Militia

