Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,URL
"October 19, 1997",Shoreline Amphitheater,Bridge School Benefit,"Mountain View, California, United States",37.3860517,-122.0838511,,"[""Low Man's Lyric"", 'Helpless', ""Tuesday's Gone"", 'Poor Twisted Me', 'Fade to Black', 'The Four Horsemen', 'Nothing Else Matters', 'Last Caress']",Last Caress,[],,0.0,8.0,"['Neil Young', 'Lou Reed', 'The Smashing Pumpkins', 'Alanis Morissette', 'Dave Matthews Band', 'Blues Traveler', 'Kacy Crowley']",False,False,False,False,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10230.html
"October 18, 1997",Shoreline Amphitheater,Bridge School Benefit,"Mountain View, California, United States",37.3860517,-122.0838511,,"[""Low Man's Lyric"", 'Helpless', ""Tuesday's Gone"", 'Poor Twisted Me', 'Fade to Black', 'The Four Horsemen', 'Nothing Else Matters', 'Last Caress']",Last Caress,[],,0.0,8.0,"['Neil Young', 'Lou Reed', 'The Smashing Pumpkins', 'Alanis Morissette', 'Dave Matthews Band', 'Blues Traveler', 'Kacy Crowley']",False,False,False,False,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10229.html
"August 24, 1997",Reading Festival,,"Reading, England",51.4542645,-0.9781303,Blitzkrieg '97,"['So What', 'Master of Puppets', 'King Nothing', 'Sad But True', 'Fuel', 'Hero of the Day', ""Ain't My Bitch"", 'One', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Stone Cold Crazy', 'Creeping Death', 'Battery', 'Last Caress', 'Motorbreath']",Motorbreath,2.0,18.0,"['Terrorvision', 'Bush', 'Marilyn Manson', 'Dinosaur Jr.', '3 Colours Red', 'Descendents', 'Dog Eat Dog', 'Feeder', 'Radish']",False,False,False,False,False,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-12450.html
"August 23, 1997",Canstatter Wasen,The Blindman'S Ball,"Stuttgart, Germany",48.7758459,9.1829321,Blitzkrieg '97,"['So What', 'Master of Puppets', 'King Nothing', 'Sad But True', 'Fuel', 'Hero of the Day', ""Ain't My Bitch"", 'One', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Stone Cold Crazy', 'Creeping Death', 'Battery', 'Last Caress']",Last Caress,2.0,17.0,"['Bush', 'Die Fantastischen', 'Vier', 'Clawfinger', 'Marilyn Manson', 'Helmet', '3 Colours Red', 'Farmer Boys']",False,False,False,False,False,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10228.html
"August 22, 1997",Kempische Steenweg,Pukkelpop Festival,"Hasselt, Belgium",50.93069,5.332479999999999,Blitzkrieg '97,"['So What', 'Master of Puppets', 'King Nothing', 'Sad But True', 'Fuel', 'Hero of the Day', ""Ain't My Bitch"", 'One', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,"['Stone Cold Crazy', 'Creeping Death', 'Battery']",Battery,1.0,16.0,"['Bush', 'Marilyn Manson', 'Dog Eat Dog', '3 Cloours Red', 'Rammstein']",False,False,False,False,False,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10227.html
"May 28, 1997",Edmonton Coliseum,,"Edmonton, Alberta, Canada",53.544389,-113.4909267,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Fuel', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Breadfan', 'Overkill']",Overkill,2.0,20.0,['Corrosion of Conformity'],False,False,False,True,False,0.0,3.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10226.html
"May 27, 1997",Olympic Saddledome,,"Calgary, Alberta, Canada",51.0486151,-114.0708459,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'King Nothing', 'One', 'Whiplash', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy', 'Last Caress']",Last Caress,"['Master of Puppets', 'Enter Sandman', 'Am I Evil?', 'Motorbreath']",Motorbreath,2.0,19.0,['Corrosion of Conformity'],False,False,False,True,False,1.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10225.html
"May 26, 1997",Saskatchewan Place,,"Saskatoon, Saskatchewan, Canada",52.1332144,-106.6700458,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Wasting My Hate', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Motorbreath']",Motorbreath,2.0,19.0,['Corrosion of Conformity'],False,False,False,True,False,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10224.html
"May 24, 1997",General Motors Place,,"Vancouver, British Columbia, Canada",49.2827291,-123.1207375,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Wasting My Hate', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Am I Evil?', 'Motorbreath']",Motorbreath,2.0,20.0,['Corrosion of Conformity'],False,False,False,True,False,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10223.html
"May 20, 1997",Key Arena,,"Seattle, Washington, United States",47.6062095,-122.3320708,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Wasting My Hate', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Am I Evil?', 'Battery']",Battery,2.0,20.0,['Corrosion of Conformity'],False,False,False,True,False,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10222.html
"May 18, 1997",Rose Garden,,"Portland, Oregon, United States",45.5122308,-122.6587185,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Wasting My Hate', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Kill/Ride Medley']",Kill/Ride Medley,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Motorbreath']",Motorbreath,2.0,19.0,['Corrosion of Conformity'],False,False,False,True,True,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10221.html
"May 16, 1997",Spokane Arena,,"Spokane, Washington, United States",47.6587802,-117.4260465,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Wasting My Hate', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Battery']",Battery,2.0,19.0,['Corrosion of Conformity'],False,False,False,True,False,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10220.html
"May 15, 1997",Bsu Pavilion,,"Boise, Idaho, United States",43.6150186,-116.2023137,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Wasting My Hate', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Motorbreath']",Motorbreath,2.0,19.0,['Corrosion of Conformity'],False,False,False,True,False,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10219.html
"May 14, 1997",Lawlor Events Center,,"Reno, Nevada, United States",39.5296329,-119.8138027,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Wasting My Hate', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Battery']",Battery,2.0,18.0,['Corrosion of Conformity'],False,False,False,False,False,0.0,3.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10218.html
"May 11, 1997",Myriad Arena,,"Oklahoma City, Oklahoma, United States",35.4675602,-97.5164276,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'King Nothing', 'One', 'Whiplash', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Seek and Destroy']",Seek and Destroy,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Motorbreath']",Motorbreath,2.0,18.0,['Corrosion of Conformity'],False,False,False,True,False,1.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10217.html
"May 10, 1997",Tarrant County Convention Center,,"Ft. Worth, Texas, United States",32.7554883,-97.3307658,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", ""Ain't My Bitch"", 'Hero of the Day', 'Hero of the Day', 'King Nothing', 'One', 'Fuel', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'Until It Sleeps', 'For Whom the Bell Tolls', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Wherever I May Roam', 'Fade to Black', 'Kill/Ride Medley']",Kill/Ride Medley,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Am I Evil?', 'Motorbreath']",Motorbreath,2.0,25.0,['Corrosion of Conformity'],False,False,False,True,True,0.0,4.0,0.0,1.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10216.html
"May 9, 1997",Tarrant County Convention Center,,"Ft. Worth, Texas, United States",32.7554883,-97.3307658,Poor Touring Me,"['So What', 'Creeping Death', 'Sad But True', ""Ain't My Bitch"", 'Hero of the Day', 'King Nothing', 'One', 'Fuel', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Fade to Black', 'Kill/Ride Medley']",Kill/Ride Medley,"['Last Caress', 'Master of Puppets', 'Enter Sandman', 'Am I Evil?', 'Motorbreath']",Motorbreath,2.0,20.0,['Corrosion of Conformity'],False,False,False,True,True,0.0,3.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10215.html
