Date,Venue,City_Country,Tour,Set,Encores,Encores_Count,Set_Length,Other_Acts,URL
"October 20, 2018",Bryce Jordan Center,"State College, Pennsylvania, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Blackened', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36814.html
"October 18, 2018",Ppg Paints Arena,"Pittsburgh, Pennsylvania, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36813.html
"October 16, 2018",Fiserv Forum,"Milwaukee, Wisconsin, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36812.html
"October 13, 2018",Austin City Limits @ Zilker Park,"Austin, Texas, United States",WorldWired,"['Hardwired', 'Creeping Death', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'For Whom the Bell Tolls', 'Halo On Fire', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Blackened', 'Nothing Else Matters', 'Enter Sandman']",1.0,16.0,"['Paul McCartney', 'Childish Gambino', 'Arctic Monkeys', 'David Byrne', 'and St. Vincent']",https://www.metallica.com/events/event-39357.html
"October 6, 2018",Austin City Limits @ Zilker Park,"Austin, Texas, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'For Whom the Bell Tolls', 'Fade to Black', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Battery', 'Nothing Else Matters', 'Enter Sandman']",1.0,16.0,"['Paul McCartney', 'Childish Gambino', 'Arctic Monkeys', 'Deftones', 'David Byrne', 'St. Vincent and Greta Van Fleet']",https://www.metallica.com/events/event-39356.html
"September 26, 2018",Dreamfest @ City Hall At Civic Center Plaza,"San Francisco, California, United States",,"['Hardwired', 'Creeping Death', 'Seek and Destroy', 'For Whom the Bell Tolls', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Fade to Black', 'Sad But True', 'One', 'Master of Puppets']","['Nothing Else Matters', 'Enter Sandman']",1.0,13.0,,https://www.metallica.com/events/2018-09-26-san-francisco.html
"September 15, 2018",Sasktel Centre,"Saskatoon, Saskatchewan, Canada",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Hit the Lights', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36811.html
"September 13, 2018",Bell Mts Place,"Winnipeg, Manitoba, Canada",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Four Horsemen', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Blackened', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36810.html
"September 11, 2018",Denny Sanford Premier Center,"Sioux Falls, South Dakota, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Fade to Black', 'Whiplash', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36809.html
"September 8, 2018",Alerus Center,"Grand Forks, North Dakota, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Ride the Lightning', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Battery', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36808.html
"September 6, 2018",Pinnacle Bank Arena,"Lincoln, Nebraska, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Memory Remains', 'The Unforgiven III', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36807.html
"September 4, 2018",Target Center,"Minneapolis, Minnesota, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'No Leaf Clover', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36806.html
"September 2, 2018",Kohl Center,"Madison, Wisconsin, United States",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Cyanide', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,,https://www.metallica.com/events/event-36805.html
"May 11, 2018",Hartwall Arena,"Helsinki, Finland",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30843.html
"May 9, 2018",Hartwall Arena,"Helsinki, Finland",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30842.html
"May 7, 2018",Ericsson Globe,"Stockholm, Sweden",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30841.html
"May 5, 2018",Ericsson Globe,"Stockholm, Sweden",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Stone Cold Crazy', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30840.html
"May 2, 2018",Telenor Arena,"Oslo, Norway",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30839.html
"April 30, 2018",Arena Leipzig,"Leipzig, Germany",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30838.html
"April 28, 2018",Tauron Arena,"Kraków, Poland",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Fade to Black', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30837.html
"April 26, 2018",Olympiahalle,"Munich, Germany",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Wait', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30836.html
"April 23, 2018",Metallica Night With The San Francisco Giants At At&T Park,"San Francisco, California, United States",,['The Star-Spangled Banner'],[],0.0,1.0,,https://www.metallica.com/events/event-36616.html
"April 11, 2018",Palexpo,"Geneva, Switzerland",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30835.html
"April 9, 2018",Schleyerhalle,"Stuttgart, Germany",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30834.html
"April 7, 2018",Schleyerhalle,"Stuttgart, Germany",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Helpless', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30833.html
"April 5, 2018",Sports Arena,"Budapest, Hungary",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30832.html
"April 2, 2018",O2 Arena,"Prague, Czech Republic",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30831.html
"March 31, 2018",Wiener Stadthalle,"Vienna, Austria",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30830.html
"March 29, 2018",Barclaycard Arena,"Hamburg, Germany",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30829.html
"March 27, 2018",Jyske Bank Boxen,"Herning, Denmark",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30828.html
"February 16, 2018",Sap Arena,"Mannheim, Germany",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30827.html
"February 14, 2018",Unipol Arena,"Bologna, Italy",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Of Wolf and Man', 'The Day That Never Comes', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiskey in the Jar', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30826.html
"February 12, 2018",Unipol Arena,"Bologna, Italy",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'Fade to Black', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Helpless', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Battery', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30825.html
"February 10, 2018",Pala Alpitour,"Turin, Italy",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Spit Out the Bone', 'For Whom the Bell Tolls', 'Halo On Fire', 'Blitzkrieg', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Orion', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30824.html
"February 7, 2018",Palau Sant Jordi,"Barcelona, Spain",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30823.html
"February 5, 2018",Wizink Center,"Madrid, Spain",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Fade to Black', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Blackened', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30822.html
"February 3, 2018",Wizink Center,"Madrid, Spain",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30821.html
"February 1, 2018",Altice Arena,"Lisbon, Portugal",WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']","['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",1.0,18.0,['Kvelertak'],https://www.metallica.com/events/event-30820.html
"November 9, 2017",At&T Park,"San Francisco, California, United States",,"['Hardwired', 'For Whom the Bell Tolls', 'Fade to Black', 'The Memory Remains', 'The Unforgiven', 'Wherever I May Roam', 'Sad But True', 'One', 'Master of Puppets', 'Nothing Else Matters', 'Enter Sandman']",[],0.0,11.0,"['G-Eazy', 'Rancid', 'Dave Matthews', 'Dead & Company and Raphael Saadiq']",https://www.metallica.com/events/event-34242.html
